127.0.0.1 - - [27/Dec/2017:09:55:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:57 +0530] "GET /FormGeneratorUtility/openForm/yh1 HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:55:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:29 +0530] "GET /FormGeneratorUtility/openForm/yh1 HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [27/Dec/2017:09:56:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
