127.0.0.1 - - [16/Jan/2018:09:54:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:54:11 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 302 -
192.168.6.144 - - [16/Jan/2018:09:54:11 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:54:15 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 88989
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:54:16 +0530] "GET /FormGeneratorUtility/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
192.168.6.144 - - [16/Jan/2018:09:54:40 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:54:42 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 88989
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:54:43 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.6.144 - - [16/Jan/2018:09:56:32 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:56:33 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 88989
192.168.6.144 - - [16/Jan/2018:10:15:54 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:56 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89174
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/css/forms.css HTTP/1.1" 200 9327
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /FormGeneratorUtility/js/js-form-validator.min.js HTTP/1.1" 200 23066
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:15:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.6.144 - - [16/Jan/2018:10:16:01 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:16:02 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89174
192.168.6.144 - - [16/Jan/2018:10:16:14 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:16:15 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89174
192.168.6.144 - - [16/Jan/2018:10:32:54 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:32:55 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89222
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:33:14 +0530] "POST /FormGeneratorUtility/updateForm HTTP/1.1" 200 76891
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:33:23 +0530] "POST /FormGeneratorUtility/updateForm HTTP/1.1" 200 51528
192.168.6.144 - - [16/Jan/2018:10:33:39 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:33:40 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89222
192.168.6.144 - - [16/Jan/2018:10:46:25 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [16/Jan/2018:10:46:26 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 89222
0:0:0:0:0:0:0:1 - - [16/Jan/2018:11:59:25 +0530] "GET /FormGenerationUtility/index HTTP/1.1" 404 1048
192.168.6.144 - - [16/Jan/2018:11:59:34 +0530] "GET /FormGeneratorUtility/getIpAndMacAddress HTTP/1.1" 200 31
