127.0.0.1 - - [03/Jan/2018:09:40:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:40:28 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 67882
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:40:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:40:41 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 67882
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 67972
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:16 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:42:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:48:34 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 68071
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:48:34 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:48:34 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [03/Jan/2018:09:48:34 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
