127.0.0.1 - - [21/Feb/2018:09:32:35 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:32:38 +0530] "GET /FormGeneratorUtility/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:32:58 +0530] "GET /FormGeneratorUtility/index;jsessionid=A66A96AA87A35B6AA702F859D1F9BA70 HTTP/1.1" 200 96397
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:32:58 +0530] "GET /FormGeneratorUtility/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:33:12 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 96397
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:33:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:33:20 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15857
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:33:24 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:34:07 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:34:58 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15873
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:34:58 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:35:00 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:35:44 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15861
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:35:44 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:35:46 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:36:05 +0530] "POST /FormGeneratorUtility/insertWithFile/Gautam_file_TEST HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:36:22 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15861
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:36:22 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:36:23 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:40:26 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15861
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:40:27 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:40:27 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:41:47 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:41:47 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:41:48 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:44:11 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15886
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:44:11 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:44:12 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:47:23 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15889
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:47:23 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:47:25 +0530] "POST /FormGeneratorUtility/listForDatatable/Gautam_file_TEST HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:53 +0530] "GET /FormGeneratorUtility/openForm/Gautam_file_TEST? HTTP/1.1" 200 15899
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/css/buttons.dataTables.min.css HTTP/1.1" 200 9262
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/css/editor.dataTables.min.css HTTP/1.1" 200 34391
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/css/jquery.dataTables.min.css HTTP/1.1" 200 13899
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/css/select.dataTables.min.css HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/css/forms.css HTTP/1.1" 200 9327
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/js/jquery.dataTables.min.js HTTP/1.1" 200 82068
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/js/dataTables.buttons.min.js HTTP/1.1" 200 17922
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/datatable/js/dataTables.select.min.js HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/jquery-validate/jquery.validate.js HTTP/1.1" 200 50276
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/jquery-validate/jquery.validate.min.js HTTP/1.1" 200 23264
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/jquery-validate/additional-methods.min.js HTTP/1.1" 200 18467
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:54 +0530] "GET /FormGeneratorUtility/jquery-validate/additional-methods.js HTTP/1.1" 200 43184
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/custom_alert.js HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/js-form-validator.min.js HTTP/1.1" 200 23066
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/js/jquery.serializejson.js HTTP/1.1" 200 17534
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:55 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css.map HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:56 +0530] "GET /FormGeneratorUtility/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [21/Feb/2018:09:52:56 +0530] "GET /FormGeneratorUtility/datatable/images/sort_both.png HTTP/1.1" 200 1136
